,name,tags
155,Lotus Biscoff Cookies - Caramelized Biscuit Cookie - 2P x 8 Counts - 124 Gram - Non-GMO Project Verified and Vegan,grocery & gourmet foods grocery & gourmet foods 4.2 ₹179 ₹189
156,"Manna Barnyard Millet Natural Grains, 1kg (500g x 2 Packs) - (Khira/Swank/Kuthiraivally/Udalu/Kodisama/siridhanya) | Nativ...",grocery & gourmet foods grocery & gourmet foods 4.3 ₹189 ₹260
157,Organic Box 100% Natural Premium Mix Dry Fruits and Nuts - Combo Pack Badam + Kaju Jar Pack - 500 Gram (Each) Cashew + Alm...,"grocery & gourmet foods grocery & gourmet foods 3.9 ₹929 ₹1,299"
158,Loacker Quadratini Napolitaner(Hazelnut) - 125g | Italy,grocery & gourmet foods grocery & gourmet foods 4.4 ₹159 ₹199
159,"Manna Millets 5kg - Natural Grains Combo Pack of 5 | Foxtail 1kg, Kodo 1kg, Little 1kg, Barnyard 1kg, Proso 1kg | Native L...","grocery & gourmet foods grocery & gourmet foods 4.2 ₹799 ₹1,280"
160,"Nutralite Doodhshakti Probiotic Butter Spread Salted, 500 g",grocery & gourmet foods grocery & gourmet foods 4.2 ₹243 ₹250
161,"Henfruit Protein Max Eggs, Pack of 30",grocery & gourmet foods grocery & gourmet foods 3.9 ₹239 ₹450
162,Shree Gulab Roasted Gram Flour Sattu 1Kg (500Gms*2),grocery & gourmet foods grocery & gourmet foods 4.3 ₹269 ₹300
163,Typhoo Uplifting Lemon Grass Green Tea Bags (25 Tea Bags),grocery & gourmet foods grocery & gourmet foods 4.3 ₹178 ₹210
164,"Del Monte Extra Light Olive Oil, Ideal for Everyday Indian Cooking & Deep Frying, 5L","grocery & gourmet foods grocery & gourmet foods 4.4 ₹3,319 ₹5,600"
165,"Taj Mahal Brooke Bond, 25 Tea Bags",grocery & gourmet foods grocery & gourmet foods 4.3 ₹60 ₹75
166,"Lay’s Gourmet Kettle Chips 55g, Thai Sweet Chilli flavour, Premium Slow-Cooked Potato Chips, Chips and Snacks",grocery & gourmet foods grocery & gourmet foods 4.1 ₹28 ₹30
167,"Cadbury Dairy Milk Silk Chocolate Bar, 250g (Pack of 2 x 250g)",grocery & gourmet foods grocery & gourmet foods 4.5 ₹550 ₹650
168,"Nutri Organics Halim Seeds 1kg - Aliv Seeds | Haleem Seeds | Seeds for Eating | Immunity Booster Superfood | Asaliya, Gard...",grocery & gourmet foods grocery & gourmet foods 4.1 ₹222 ₹349
169,"Organic Tattva 'Black Mustard', Quality Rai, Naturally Processed, from Farm Picked Fresh Seeds (100 G, Pouch)",grocery & gourmet foods grocery & gourmet foods 4.3 ₹36 ₹40
170,"Pintola Organic Wholegrain Brown Rice Cakes - All Natural (Lightly Salted, Pack of 1) (125 g)",grocery & gourmet foods grocery & gourmet foods 3.9 ₹145 ₹160
171,"Colourmist Liquid Food Colour Assorted 20 Gm, Pack of 10 Colours (Orange, Blue, Orange Red, Raspberry Red, Purple, Lemon Y...",grocery & gourmet foods grocery & gourmet foods 4.1 ₹250 ₹299
